,Title,Director,Screenwriter,Main_performer,Types,Region,Language,ShowtTime,Film_length,Score,Rating_people,Watching_people,Wtsee_people,Comments_people
31,末代皇帝 The Last Emperor,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇 / 马克·派普罗,尊龙 / 陈冲 / 邬君梅 ,剧情/传记/历史, 英国 / 意大利 / 中国大陆 / 法国, 英语 / 汉语普通话 / 日语,1987/10/4,163,9.2,459153,698624,256309,89290
32,寻梦环游记 Coco,李·昂克里奇,阿德里安·莫利纳 / 马修·奥尔德里奇 / 李·昂克里奇 / 詹森·卡茨,安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / 本杰明·布拉特 ,喜剧/动画/音乐/奇幻, 美国, 英语 / 西班牙语,2017/11/24,105,9.1,977339,1536853,145265,251978
33,指环王3：王者无敌 The Lord of the Rings: The Return of the King,彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J·R·R·托尔金,维果·莫腾森 / 伊利亚·伍德 / 西恩·奥斯汀 ,剧情/动作/奇幻/冒险, 美国 / 新西兰, 美国 / 新西兰,2004/3/12,201,9.2,500042,782391,93696,54390
34,飞屋环游记 Up,彼特·道格特,彼特·道格特 / 鲍勃·彼德森 / 汤姆·麦卡锡,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 ,剧情/喜剧/动画/冒险, 美国, 英语,2009/8/4,96,9,896465,1442263,177170,134076
35,十二怒汉 12 Angry Men,西德尼·吕美特,雷金纳德·罗斯,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 ,剧情, 美国, 英语,1957/4/13,96,9.4,301319,402350,234604,65120
36,鬼子来了,姜文,姜文 / 史建全 / 述平 / 尤凤伟,姜文 / 香川照之 / 袁丁 ,剧情/历史/战争, 中国大陆, 汉语普通话 / 日语 / 唐山话,2000/5/12,139,9.2,416646,631875,208134,71459
37,天空之城 天空の城ラピュタ,宫崎骏,宫崎骏,田中真弓 / 横泽启子 / 初井言荣 ,动画/奇幻/冒险, 日本, 日语,1992/5/1,125,9.1,570430,974862,206620,70585
38,何以为家 ????????,娜丁·拉巴基,娜丁·拉巴基 / 吉哈德·霍加里 / 米歇尔·凯斯沃尼 / 乔治斯·哈巴兹 / 哈立德·穆扎纳,赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗 / 博鲁瓦蒂夫·特雷杰·班科尔 ,剧情, 黎巴嫩 / 法国 / 美国, 阿拉伯语 / 阿姆哈拉语,2019/4/29,126,9.1,561591,787504,268793,148754
39,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,刘镇伟 / 吴承恩,周星驰 / 吴孟达 / 罗家英 ,喜剧/爱情/奇幻/古装, 中国香港 / 中国大陆, 粤语 / 汉语普通话,1995/1/21,87,9,799583,1426088,67887,71830
40,哈尔的移动城堡 ハウルの動く城,宫崎骏,宫崎骏 / 吉田玲子,倍赏千惠子 / 木村拓哉 / 美轮明宏 ,动画/奇幻/冒险, 日本, 日语,2004/9/5,119,9,649663,1073816,140586,96035
41,天堂电影院 Nuovo Cinema Paradiso,朱塞佩·托纳多雷,朱塞佩·托纳多雷 / 瓦娜·波利 / 理查德·埃帕卡,安东内拉·阿蒂利 / 恩佐·卡拉瓦勒 / 艾萨·丹尼埃利 ,剧情/爱情, 意大利 / 法国, 意大利语,1988/11/17,155,9.2,456858,660414,298949,79395
42,素媛 ??,李濬益,金智慧 / 赵重勋,薛景求 / 严志媛 / 李来 ,剧情, 韩国, 韩国,2013/10/2,123,9.2,400175,607566,204296,80031
43,罗马假日 Roman Holiday,威廉·惠勒,伊安·麦克莱伦·亨特 / 约翰·戴顿 / 达尔顿·特朗勃,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 ,剧情/喜剧/爱情, 美国, 英语 / 意大利语 / 德语,1953/8/20,118,9,657416,1129900,218778,105553
44,闻香识女人 Scent of a Woman,马丁·布莱斯特,博·古德曼 / 乔瓦尼·阿尔皮诺,阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩 ,剧情, 美国, 英语,1992/12/23,157,9.1,570162,871328,266906,106340
45,辩护人 ???,杨宇硕,杨宇硕 / 尹贤浩,宋康昊 / 吴达洙 / 金英爱 ,剧情, 韩国, 韩国,2013/12/18,127,9.2,403823,555962,232483,86509
46,搏击俱乐部 Fight Club,大卫·芬奇,恰克·帕拉尼克 / 吉姆·乌尔斯,爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 ,剧情/动作/悬疑/惊悚, 美国 / 德国, 英语,1999/9/10,139,9,603185,837618,243436,114766
47,死亡诗社 Dead Poets Society,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克 ,剧情, 美国, 英语 / 拉丁语,1989/6/2,128,9.1,468946,663258,260166,97705
48,窃听风暴 Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫 ,剧情/悬疑, 德国, 德语,2006/3/23,137,9.1,386580,572502,285527,81191
49,教父2 The Godfather: Part Ⅱ,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉 / 马里奥·普佐,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿 ,剧情/犯罪, 美国, 英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,1974/12/12,202,9.2,343255,532288,143373,35898
50,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,克里斯·哥伦布,史蒂夫·克洛夫斯 / J·K·罗琳,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 ,奇幻/冒险, 美国 / 英国, 美国 / 英国,2002/1/26,152,9,586340,977163,48815,67546
51,狮子王 The Lion King,罗杰·阿勒斯,艾琳·梅琪 / 乔纳森·罗伯特  / 琳达·伍尔芙顿,乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 ,动画/歌舞/冒险, 美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,1995/7/15,89,9,524712,928112,112950,55971
52,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 斯蒂芬·辛克莱 / 彼得·杰克逊 / J·R·R·托尔金,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩 ,剧情/动作/奇幻/冒险, 美国 / 新西兰, 美国 / 新西兰,2003/4/25,179,9.1,459146,733376,71357,36980
53,我不是药神,文牧野,韩家女 / 钟伟 / 文牧野,徐峥 / 王传君 / 周一围 ,剧情/喜剧, 中国大陆, 汉语普通话 / 英语 / 上海话 / 印地语,2018/7/5,117,9,1391409,4045012,852656,387322
54,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",盖·里奇,盖·里奇,杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰 ,剧情/喜剧/犯罪, 英国, 英语,1998/8/28,107,9.1,409210,560677,251368,75077
55,大闹天宫,万籁鸣,李克弱 / 万籁鸣,邱岳峰 / 富润生 / 毕克 ,动画/奇幻, 中国大陆, 汉语普通话,1961,114,9.3,243233,432337,91536,24455
56,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J·R·R·托尔金,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩 ,剧情/动作/奇幻/冒险, 新西兰 / 美国, 新西兰 / 美国,2002/4/4,178,9,516260,837405,89339,53940
57,飞越疯人院 One Flew Over the Cuckoo's Nest,米洛斯·福尔曼,劳伦斯·奥邦 / 博·古德曼 / 肯·凯西 / 达尔·瓦瑟曼,杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德 ,剧情, 美国, 英语,1975/11/19,133,9.1,411832,605106,286966,74798
58,美丽心灵 A Beautiful Mind,朗·霍华德,阿齐瓦·高斯曼 / 西尔维娅·纳萨尔,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利 ,剧情/传记, 美国, 英语,2001/12/13,135,9,507034,796558,249029,83556
59,饮食男女 飲食男女,李安,李安 / 王蕙玲 / 詹姆斯·夏慕斯,郎雄 / 杨贵媚 / 吴倩莲 ,剧情/家庭, 中国台湾 / 美国, 汉语普通话 / 闽南语 / 湖南话,1994/8/3,124,9.1,373617,514844,202161,82989
60,V字仇杀队 V for Vendetta,詹姆斯·麦克特格,莉莉·沃卓斯基 / 拉娜·沃卓斯基,娜塔莉·波特曼 / 雨果·维文 / 斯蒂芬·瑞 ,剧情/动作/科幻/惊悚, 美国 / 英国 / 德国, 英语,2005/12/11,132,8.9,720742,1121464,257039,128794
61,黑客帝国 The Matrix,莉莉·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 ,动作/科幻, 美国 / 澳大利亚, 英语,1999/3/31,136,9,514738,854054,150251,68677
62,钢琴家 The Pianist,罗曼·波兰斯基,罗纳德·哈伍德,艾德里安·布洛迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯 ,剧情/音乐/传记/历史/战争, 法国 / 德国 / 英国 / 波兰, 英语 / 德语 / 俄语,2002/5/24,150,9.1,338493,478237,209763,54764
63,本杰明·巴顿奇事 The Curious Case of Benjamin Button,大卫·芬奇,艾瑞克·罗斯 / 罗宾·史威考德 / F·司各特·菲茨杰拉德,凯特·布兰切特 / 布拉德·皮特 / 朱莉娅·奥蒙德 ,剧情/爱情/奇幻, 美国, 英语 / 俄语 / 法语,2008/12/25,166,8.9,664467,968866,201002,115336
64,猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / 克里斯托弗·沃肯 ,剧情/传记/犯罪, 美国 / 加拿大, 英语 / 法语,2003/4/11,141,9,510608,734001,181856,84740
65,看不见的客人 Contratiempo,奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯 / 阿娜·瓦格纳 / 何塞·科罗纳多 ,剧情/悬疑/惊悚/犯罪, 西班牙, 西班牙语,2017/9/15,106,8.8,764429,1094736,213940,181012
66,让子弹飞,姜文,朱苏进 / 述平 / 姜文 / 郭俊立 / 危笑 / 李不空 / 马识途,姜文 / 葛优 / 周润发 ,剧情/喜剧/动作/西部, 中国大陆 / 中国香港, 汉语普通话 / 四川话 / 山西话,2010/12/16,132,8.8,1080619,1819080,120991,189474
67,海豚湾 The Cove,路易·西霍尤斯,马克·蒙雷,Richard O'Barry / 路易·西霍尤斯 / Hardy Jones ,纪录片, 美国, 美国,2009/7/31,92,9.3,272115,393044,200481,57709
68,情书 Love Letter,岩井俊二,岩井俊二,中山美穗 / 丰川悦司 / 酒井美纪 ,剧情/爱情, 日本, 日语,Mar-99,117,8.9,613018,904703,272964,138756
69,西西里的美丽传说 Malèna,朱塞佩·托纳多雷,朱塞佩·托纳多雷 / 卢恰诺·温琴佐尼,莫妮卡·贝鲁奇 / 朱塞佩·苏尔法罗 / Luciano Federico ,剧情/情色/战争, 意大利 / 美国, 意大利语 / 英语 / 拉丁语 / 古希腊语,2000/10/27,109,8.9,647398,1001164,236314,113662
70,拯救大兵瑞恩 Saving Private Ryan,史蒂文·斯皮尔伯格,罗伯特·罗达特,汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯 ,剧情/历史/战争, 美国, 美国,1998/11/13,169,9,428148,679343,157744,51157
71,小鞋子 ?????? ?????,马基德·马基迪,马基德·马基迪,法拉赫阿米尔·哈什米安 / 默罕默德·阿米尔·纳吉 / 巴哈丽·西迪奇 ,剧情/家庭/儿童, 伊朗, 伊朗,Feb-97,89,9.2,261260,357595,176522,52203
72,美国往事 Once Upon a Time in America,赛尔乔·莱昂内,皮耶罗·德·贝纳迪 / 莱奥纳多·本韦努蒂 / 弗兰科·奥卡利 / 恩里科·梅迪欧力 / 弗兰科·费里尼 / 赛尔乔·莱昂内,罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文 ,剧情/犯罪, 美国 / 意大利, 美国 / 意大利,1984/2/17,229分钟(导演剪辑,9.2,283534,406802,302848,55060
73,音乐之声 The Sound of Music,罗伯特·怀斯,乔治·胡达勒克 / 霍华德·林赛 / 拉塞尔·克劳斯 / 恩斯特·莱赫曼 / Maria von Trapp,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克 ,剧情/爱情/歌舞/传记, 美国, 英语 / 德语,1965/3/2,174,9,395415,638985,104485,46180
74,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,马克·赫尔曼,约翰·伯恩 / 马克·赫尔曼,阿萨·巴特菲尔德 / 维拉·法米加 / 卡拉·霍根 ,剧情/战争, 英国 / 美国, 英语 / 西班牙语,2008/9/12,94,9.1,320405,454214,229371,67359
75,致命魔术 The Prestige,克里斯托弗·诺兰,乔纳森·诺兰 / 克里斯托弗·诺兰 / 克里斯托弗·普瑞丝特,休·杰克曼 / 克里斯蒂安·贝尔 / 迈克尔·凯恩 ,剧情/悬疑/惊悚, 美国 / 英国, 英语,2006/10/17,130,8.9,568512,767940,187600,101984
76,七宗罪 Se7en,大卫·芬奇,安德鲁·凯文·沃克,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西 ,剧情/悬疑/惊悚/犯罪, 美国, 英语 / 葡萄牙语,1995/9/22,127,8.8,665550,985731,225237,95473
77,低俗小说 Pulp Fiction,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺 / 罗杰·阿夫瑞,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫 ,剧情/喜剧/犯罪, 美国, 英语 / 西班牙语 / 法语,1994/5/12,154,8.8,566193,794966,256985,103269
78,沉默的羔羊 The Silence of the Lambs,乔纳森·戴米,托马斯·哈里斯 / 泰德·塔里,朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦 ,剧情/惊悚/犯罪, 美国, 英语,1991/2/14,118,8.8,562811,843125,187936,78744
79,被嫌弃的松子的一生 嫌われ松子の一生,中岛哲也,中岛哲也 / 山田宗树,中谷美纪 / 永山瑛太 / 香川照之 ,剧情/歌舞, 日本, 日语,2006/5/27,130,8.9,506011,709596,247680,132676
80,蝴蝶效应 The Butterfly Effect,埃里克·布雷斯,J·麦基·格鲁伯 / 埃里克·布雷斯,阿什顿·库彻 / 梅洛拉·沃尔特斯 / 艾米·斯马特 ,剧情/科幻/悬疑/惊悚, 美国 / 加拿大, 英语,2004/1/23,113,8.8,624602,1004110,223857,101581
81,春光乍泄 春光乍洩,王家卫,王家卫,张国荣 / 梁朝伟 / 张震,剧情/爱情/同性, 中国香港 / 日本 / 韩国, 粤语 / 汉语普通话 / 西班牙语,1997/5/30,96,8.9,419384,588842,218326,83686
82,禁闭岛 Shutter Island,马丁·斯科塞斯,莱塔·卡罗格里迪斯 / 丹尼斯·勒翰,莱昂纳多·迪卡普里奥 / 马克·鲁弗洛 / 本·金斯利 ,剧情/悬疑/惊悚, 美国, 英语 / 德语,2010/2/13,138,8.8,621741,908701,167730,109282
83,心灵捕手 Good Will Hunting,格斯·范·桑特,本·阿弗莱克 / 马特·达蒙,马特·达蒙 / 罗宾·威廉姆斯 / 本·阿弗莱克 ,剧情, 美国, 英语,1997/12/5,126,8.9,464525,683593,223331,79815
84,布达佩斯大饭店 The Grand Budapest Hotel,韦斯·安德森,韦斯·安德森 / 雨果·吉尼斯 / 斯蒂芬·茨威格,拉尔夫·费因斯 / 托尼·雷沃罗利 / 艾德里安·布洛迪 ,剧情/喜剧/冒险, 美国 / 德国 / 英国, 美国 / 德国 / 英国,2014/2/6,99,8.8,586779,793295,239816,130764
85,绿皮书 Green Book,彼得·法雷里,尼克·瓦莱隆加 / 布莱恩·库瑞 / 彼得·法雷里,维果·莫腾森 / 马赫沙拉·阿里 / 琳达·卡德里尼 ,剧情/喜剧/传记, 美国, 英语 / 意大利语 / 俄语 / 德语,2019/3/1,130,8.9,973434,1445498,452301,256040
86,勇敢的心 Braveheart,梅尔·吉布森,兰道尔·华莱士,梅尔·吉布森 / 苏菲·玛索 / 布莱恩·考克斯 ,剧情/动作/传记/历史/战争, 美国, 英语 / 法语 / 拉丁语 / 苏格兰盖尔语,1995/5/18,177,8.9,426058,660574,153239,65713
87,剪刀手爱德华 Edward Scissorhands,蒂姆·波顿,蒂姆·波顿 / 卡罗琳·汤普森,约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特 ,剧情/爱情/奇幻, 美国, 英语,1990/12/6,105,8.7,759698,1250855,175575,112841
88,阿凡达 Avatar,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗 ,动作/科幻/冒险, 美国 / 英国, 美国 / 英国,2010/1/4,162,8.7,898788,1545916,100339,140699
89,天使爱美丽 Le fabuleux destin d'Amélie Poulain,让-皮埃尔·热内,纪尧姆·洛朗 / 让-皮埃尔·热内,奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯 ,喜剧/爱情, 法国 / 德国, 法语 / 俄语,2001/4/25,122,8.7,730838,1206879,228471,133776
90,海蒂和爷爷 Heidi,阿兰·葛斯彭纳,约翰娜·施皮里 / 佩特拉·比翁迪娜·沃尔普,阿努克·斯特芬 / 布鲁诺·甘茨 / 昆林·艾格匹 ,剧情/家庭/冒险, 德国 / 瑞士 / 南非, 德语 / 瑞士德语 / 南非语,2019/5/16,111,9.2,214189,288770,197427,64602
91,摩登时代 Modern Times,查理·卓别林,查理·卓别林,查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼 ,剧情/喜剧/爱情, 美国, 英语,1936/2/25,87,9.3,181992,321744,136617,22955
92,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,戈尔·维宾斯基,泰德·艾略特 / 特里·鲁西奥 / 斯图尔特·贝亚蒂耶 / 杰·沃尔伯特,约翰尼·德普 / 杰弗里·拉什 / 奥兰多·布鲁姆 ,动作/奇幻/冒险, 美国, 英语,2003/11/21,143,8.7,594209,1044442,65513,56565
93,致命ID Identity,詹姆斯·曼高德,迈克尔·库尼,约翰·库萨克 / 雷·利奥塔 / 阿曼达·皮特 ,剧情/悬疑/惊悚, 美国, 英语,2003/4/25,90,8.8,520902,702973,162398,93762
94,喜剧之王 喜劇之王,周星驰,曾瑾昌 / 周星驰 / 李敏 / 郑文辉 / 冯勉恒 / 梁嘉杰,周星驰 / 张柏芝 / 莫文蔚 ,剧情/喜剧/爱情, 中国香港, 粤语,1999/2/13,85,8.7,613730,1071136,94263,79528
95,断背山 Brokeback Mountain,李安,拉里·麦克穆特瑞 / 黛安娜·奥撒纳 / 安妮·普鲁,希斯·莱杰 / 杰克·吉伦哈尔 / 米歇尔·威廉姆斯 ,剧情/爱情/同性/家庭, 美国 / 加拿大, 美国 / 加拿大,2005/9/2,134,8.8,505684,744895,196996,89967
96,幽灵公主 もののけ姫,宫崎骏,宫崎骏,松田洋治 / 石田百合子 / 田中裕子 ,动画/奇幻/冒险, 日本, 日语,1997/7/12,134,8.9,371509,612270,127566,47346
97,入殓师 おくりびと,泷田洋二郎,小山薰堂,本木雅弘 / 广末凉子 / 山崎努 ,剧情, 日本, 日本,2008/9/13,130,8.8,433455,621297,178584,77618
98,杀人回忆 ??? ??,奉俊昊,奉俊昊 / 沈成宝 / 金光林,宋康昊 / 金相庆 / 金雷河 ,剧情/悬疑/惊悚/犯罪, 韩国, 韩语,2003/5/2,131,8.8,422750,547316,184868,84165
99,狩猎 Jagten,托马斯·温特伯格,托马斯·温特伯格 / 托比亚斯·林道赫姆,麦斯·米科尔森 / 托玛斯·博·拉森 / 安妮卡·韦德科普 ,剧情, 丹麦 / 瑞典, 丹麦语 / 英语 / 波兰语,2012/5/20,115,9.1,228755,301768,250289,62312
100,阳光灿烂的日子,姜文,姜文 / 王朔,夏雨 / 宁静 / 陶虹 ,剧情/爱情, 中国大陆 / 中国香港, 汉语普通话,1995/6/28,134分钟(中国大,8.8,426854,640542,176796,70875
101,重庆森林 重慶森林,王家卫,王家卫,林青霞 / 金城武 / 梁朝伟 ,剧情/爱情, 中国香港, 粤语 / 汉语普通话 / 英语 / 印地语 / 日语,1994/7/14,102,8.7,535135,790205,196531,106779
102,第六感 The Sixth Sense,M·奈特·沙马兰,M·奈特·沙马兰,布鲁斯·威利斯 / 海利·乔·奥斯蒙 / 托妮·科莱特 ,剧情/悬疑/惊悚, 美国, 英语 / 拉丁语 / 西班牙语,1999/8/6,107,8.9,366809,488890,184056,71319
103,请以你的名字呼唤我 Call Me by Your Name,卢卡·瓜达尼诺,詹姆斯·伊沃里 / 安德列·艾席蒙,艾米·汉莫 / 蒂莫西·柴勒梅德 / 迈克尔·斯图巴 ,剧情/爱情/同性, 意大利 / 法国 / 巴西 / 美国 / 荷兰 / 德国, 英语 / 意大利语 / 法语 / 德语 / 希伯来语,2017/1/22,132,8.9,400349,527143,289561,123956
104,小森林 夏秋篇 リトル?フォレスト 夏?秋,森淳一,森淳一 / 五十岚大介,桥本爱 / 三浦贵大 / 松冈茉优 ,剧情, 日本, 日语,2014/8/30,111,9,270426,377040,159276,65044
105,消失的爱人 Gone Girl,大卫·芬奇,吉莉安·弗琳,本·阿弗莱克 / 裴淳华 / 尼尔·帕特里克·哈里斯 ,剧情/悬疑/惊悚/犯罪, 美国, 英语,2014/9/26,149,8.7,602435,789196,223614,147807
106,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,大卫·叶茨,史蒂夫·克洛夫斯 / J·K·罗琳,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 ,剧情/悬疑/奇幻/冒险, 美国 / 英国, 英语,2011/8/4,130,8.8,485155,792400,55910,86687
107,玛丽和马克思 Mary and Max,亚当·艾略特,亚当·艾略特,托妮·科莱特 / 菲利普·塞默·霍夫曼 / 巴瑞·哈姆弗莱斯 ,剧情/喜剧/动画, 澳大利亚, 英语 / 意第绪语,2009/1/15,92,8.9,316796,419032,184395,75165
108,7号房的礼物 7??? ??,李焕庆,李焕庆 / 刘英雅,柳承龙 / 朴信惠 / 郑镇荣 ,剧情/喜剧/家庭, 韩国, 韩国,2013/1/23,127,8.9,334171,494159,135225,68529
109,红辣椒 パプリカ,今敏,水上清资 / 今敏 / 筒井康隆,林原惠美 / 江守彻 / 堀胜之祐 ,科幻/动画/悬疑/惊悚, 日本, 日语,2006/9/2,90,9,252657,319862,178913,57727
110,爱在黎明破晓前 Before Sunrise,理查德·林克莱特,理查德·林克莱特 / 金·克里桑,伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特 ,剧情/爱情, 美国 / 奥地利 / 瑞士, 英语 / 德语 / 法语,1995/1/27,101,8.8,385971,521620,241736,92229
111,告白,中岛哲也,中岛哲也 / 凑佳苗,松隆子 / 冈田将生 / 木村佳乃 ,剧情/惊悚, 日本, 日本,2010/6/5,106,8.7,514216,681685,161065,130323
112,一一,杨德昌,杨德昌,吴念真 / 李凯莉 / 金燕玲 ,剧情/爱情/家庭, 中国台湾 / 日本, 汉语普通话 / 闽南语 / 英语 / 日语,2017/7/28,173,9,235598,317942,262772,62648
113,侧耳倾听 耳をすませば,近藤喜文,宫崎骏 / 柊葵,本名阳子 / 小林桂树 / 高山南 ,剧情/爱情/动画, 日本, 日语 / 英语,1995/7/15,111,8.9,299399,422448,131367,58803
114,大鱼 Big Fish,蒂姆·波顿,Daniel Wallace / 约翰·奥古斯特,伊万·麦克格雷格 / 阿尔伯特·芬尼 / 比利·克鲁德普 ,剧情/家庭/奇幻/冒险, 美国, 英语 / 法语 / 俄语 / 粤语 / 汉语普通话,2003/12/4,125,8.8,394258,551110,218470,76746
115,小森林 冬春篇 リトル?フォレスト 冬?春,森淳一,森淳一 / 五十岚大介,桥本爱 / 三浦贵大 / 松冈茉优 ,剧情, 日本, 日语,2015/2/14,120,9,237351,332635,142002,49968
116,阳光姐妹淘 ??,姜炯哲,姜炯哲 / 李炳宪,沈恩京 / 闵孝琳 / 姜素拉 ,剧情/喜剧, 韩国, 韩语,2011/5/4,124,8.8,428939,648665,151606,96854
117,射雕英雄传之东成西就 射鵰英雄傳之東成西就,刘镇伟,刘镇伟,梁朝伟 / 林青霞 / 张国荣 ,喜剧/奇幻/武侠/古装, 中国香港, 粤语,1993/2/5,113分钟(香,8.7,438014,698718,65343,65544
118,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,克里斯托弗·诺兰,大卫·S·高耶 / 乔纳森·诺兰 / 克里斯托弗·诺兰,克里斯蒂安·贝尔 / 汤姆·哈迪 / 安妮·海瑟薇 ,剧情/动作/科幻/惊悚/犯罪, 美国 / 英国, 美国 / 英国,2012/8/27,165,8.7,480327,740297,85437,97311
119,超脱 Detachment,托尼·凯耶,卡尔·隆德,艾德里安·布洛迪 / 马西娅·盖伊·哈登 / 詹姆斯·肯恩 ,剧情, 美国, 美国,2011/4/25,97,8.9,301894,396350,260246,79122
120,倩女幽魂,程小东,阮继志,张国荣 / 王祖贤 / 午马 ,爱情/奇幻/武侠/古装, 中国香港, 粤语,1987/7/18,98分钟(香,8.7,469113,921631,69723,58398
121,唐伯虎点秋香 唐伯虎點秋香,李力持,李力持 / 谷德昭 / 陈文强,周星驰 / 巩俐 / 陈百祥 ,喜剧/爱情/古装, 中国香港, 粤语,1993/7/1,102,8.6,660217,1233556,24760,55640
122,甜蜜蜜,陈可辛,岸西,黎明 / 张曼玉 / 杨恭如 ,剧情/爱情, 中国香港, 粤语 / 汉语普通话 / 英语,1996/11/2,118分钟(中国大,8.8,345575,495593,145576,69274
123,驯龙高手 How to Train Your Dragon,迪恩·德布洛斯,威廉姆·戴维斯 / 迪恩·德布洛斯 / 克里斯·桑德斯 / 葛蕾熙达·柯维尔,杰伊·巴鲁切尔 / 杰拉德·巴特勒 / 克雷格·费格森 ,动画/奇幻/冒险, 美国, 美国,2010/5/14,98,8.7,507607,774824,91426,76828
124,菊次郎的夏天 菊次郎の夏,北野武,北野武,北野武 / 关口雄介 / 岸本加世子 ,剧情/喜剧, 日本, 日语,1999/5/20,121,8.8,336063,510729,246546,76159
125,恐怖直播 ? ?? ???,金秉祐,金秉祐,河正宇 / 李璟荣 / 全慧珍 ,剧情/悬疑/犯罪, 韩国, 韩语,2013/7/31,97,8.8,413436,569628,139840,86798
126,萤火之森 蛍火の杜へ,大森贵弘,绿川幸,佐仓绫音 / 内山昂辉 / 辻亲八 ,剧情/爱情/动画/奇幻, 日本, 日本,2011/9/17,45,8.8,316932,503439,159574,65010
127,爱在日落黄昏时 Before Sunset,理查德·林克莱特,理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑,伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫 ,剧情/爱情, 美国 / 法国, 英语 / 法语,2004/2/10,80,8.8,331373,454076,254006,72739
128,幸福终点站 The Terminal,史蒂文·斯皮尔伯格,安德鲁·尼科尔 / 萨沙·杰瓦西  / 杰夫·内桑森,汤姆·汉克斯 / 凯瑟琳·泽塔-琼斯 / 斯坦利·图齐 ,剧情/喜剧/爱情, 美国, 英语 / 俄语 / 法语 / 保加利亚语,2005/1/14,128,8.8,357759,513602,149368,56308
