,Title,Director,Screenwriter,Main_performer,Types,Region,Language,ShowtTime,Film_length,Score,Rating_people,Watching_people,Wtsee_people,Comments_people
209,香水 Perfume: The Story of a Murderer,汤姆·提克威,安德鲁·伯金 / 贝尔恩德·艾辛格 / 汤姆·提克威 / 帕特里克·聚斯金德,本·卫肖 / 艾伦·瑞克曼 / 蕾切儿·哈伍德 ,剧情/犯罪/奇幻, 德国 / 法国 / 西班牙 / 美国, 英语,2006/9/7,147,8.5,400095,560018,166828,78855
210,绿里奇迹 The Green Mile,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,汤姆·汉克斯 / 大卫·摩斯 / 迈克·克拉克·邓肯 ,剧情/悬疑/犯罪/奇幻, 美国, 英语 / 法语,1999/12/10,189,8.8,176069,240241,119981,29224
211,小偷家族 万引き家族,是枝裕和,是枝裕和,中川雅也 / 安藤樱 / 松冈茉优 ,剧情/家庭/犯罪, 日本, 日本,2018/8/3,117分钟(中国大,8.7,538068,974938,732372,140622
212,猜火车 Trainspotting,丹尼·博伊尔,埃文·威尔什 / 约翰·霍奇,伊万·麦克格雷格 / 艾文·布莱纳 / 约翰尼·李·米勒 ,剧情/犯罪, 英国, 英语,1996/2/23,94,8.5,328271,458785,175661,60120
213,无耻混蛋 Inglourious Basterds,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,布拉德·皮特 / 梅拉尼·罗兰 / 克里斯托弗·瓦尔兹 ,剧情/犯罪, 德国 / 美国, 英语 / 德语 / 法语 / 意大利语,2009/5/20,153,8.6,334193,444839,150077,63121
214,谍影重重2 The Bourne Supremacy,保罗·格林格拉斯,罗伯特·鲁德鲁姆 / 托尼·吉尔罗伊,马特·达蒙 / 弗朗卡·波滕特 / 布莱恩·考克斯 ,动作/悬疑/惊悚, 美国 / 德国, 美国 / 德国,2004/11/14,108,8.6,246364,396351,48763,23746
215,谍影重重 The Bourne Identity,道格·里曼,托尼·吉尔罗伊 / 罗伯特·鲁德鲁姆 / W·布莱克·赫伦,马特·达蒙 / 弗朗卡·波滕特 / 克里斯·库珀 ,动作/悬疑/惊悚, 美国 / 德国 / 捷克, 美国 / 德国 / 捷克,2002/11/21,119,8.6,294423,449031,61138,35460
216,新龙门客栈 新龍門客棧,李惠民,徐克 / 张炭 / 吕晓禾 / 司徒慧焯 / 何冀平 / 苏叔阳,张曼玉 / 林青霞 / 梁家辉 ,动作/爱情/武侠/古装, 中国香港 / 中国大陆, 汉语普通话 / 粤语,1992/8/27,88,8.6,296646,479900,57875,34305
217,战争之王 Lord of War,安德鲁·尼科尔,安德鲁·尼科尔,尼古拉斯·凯奇 / 布丽姬·穆娜 / 杰瑞德·莱托 ,剧情/犯罪, 美国 / 法国, 英语 / 法语 / 德语 / 俄语 / 西班牙语 / 乌克兰语 / 阿拉伯语 / 土耳其语 / 汉语普通话,2005/9/16,122,8.6,249492,367772,104397,31549
218,青蛇,徐克,李碧华 / 徐克,张曼玉 / 王祖贤 / 赵文卓 ,剧情/爱情/奇幻/古装, 中国香港, 粤语,1993/11/4,99,8.5,342544,542002,70703,51822
219,源代码 Source Code,邓肯·琼斯,本·雷普利,杰克·吉伦哈尔 / 维拉·法米加 / 米歇尔·莫纳汉 ,科幻/悬疑/惊悚, 美国 / 加拿大, 英语,2011/8/30,93,8.4,571606,830529,129100,108993
